activity_id,learner_id,course_id,activity_date,lesson_id,session_minutes,activities_completed,participation_rate,completion_percentage
A00935,L017,ELA01,2026-05-14,ELA01_L09,29,3,58.0,49.7
A00936,L017,ELA01,2026-03-18,ELA01_L09,37,1,55.5,59.1
A00937,L017,ELA01,2025-10-31,ELA01_L05,27,3,61.3,95.1
A00938,L017,ELA01,2026-01-12,ELA01_L12,34,2,53.0,55.2
A00939,L017,ELA01,2026-04-17,ELA01_L04,32,2,57.5,60.0
A00940,L017,ELA01,2026-07-11,ELA01_L05,34,4,65.5,62.7
A00941,L017,ELA01,2026-08-22,ELA01_L08,33,2,59.8,63.7
A00942,L017,ELA01,2025-12-12,ELA01_L02,26,3,45.9,49.5
A00943,L017,ELA01,2025-11-09,ELA01_L02,39,3,44.3,35.9
A00944,L017,ELA01,2026-04-20,ELA01_L03,29,2,41.5,42.9
A00945,L017,ELA01,2026-04-16,ELA01_L02,15,2,50.9,47.3
A00946,L017,ELA01,2026-08-16,ELA01_L06,25,4,58.9,36.0
A00947,L017,SCI01,2026-08-30,SCI01_L02,29,4,64.3,65.3
A00948,L017,SCI01,2026-06-09,SCI01_L09,28,2,63.0,80.0
A00949,L017,SCI01,2026-01-27,SCI01_L05,32,4,52.9,40.6
A00950,L017,SCI01,2025-11-20,SCI01_L12,26,3,58.6,59.5
A00951,L017,SCI01,2026-08-30,SCI01_L12,24,4,41.8,52.5
A00952,L017,SCI01,2026-07-24,SCI01_L03,33,2,53.3,69.6
A00953,L017,SCI01,2026-03-05,SCI01_L09,33,4,52.2,42.9
A00954,L017,SCI01,2025-12-24,SCI01_L02,18,4,66.3,61.8
A00955,L017,SCI01,2025-12-12,SCI01_L03,16,2,51.9,39.4
A00956,L017,SCI01,2025-12-31,SCI01_L08,30,4,49.0,51.5
A00957,L017,SCI01,2025-09-14,SCI01_L06,22,2,56.3,77.9
A00958,L017,SCI01,2026-06-11,SCI01_L10,44,2,48.0,48.0
A00959,L017,SCI01,2026-03-08,SCI01_L08,41,3,62.4,57.7
A00960,L017,SCI01,2026-06-10,SCI01_L03,33,4,53.4,53.4
A00961,L017,SCI01,2026-07-11,SCI01_L02,44,3,58.8,62.5
A00962,L018,MATH01,2026-02-06,MATH01_L07,14,4,54.7,53.6
A00963,L018,MATH01,2026-05-04,MATH01_L09,37,3,62.8,76.3
A00964,L018,MATH01,2026-03-30,MATH01_L07,29,4,67.6,65.0
A00965,L018,MATH01,2026-06-22,MATH01_L02,31,3,71.1,72.1
A00966,L018,MATH01,2025-11-04,MATH01_L06,38,3,67.0,44.9
A00967,L018,MATH01,2026-07-26,MATH01_L02,41,3,63.4,60.5
A00968,L018,MATH01,2026-04-19,MATH01_L08,29,2,74.8,72.8
A00969,L018,MATH01,2026-08-15,MATH01_L09,27,3,63.0,68.9
A00970,L018,MATH01,2026-02-24,MATH01_L03,37,5,66.8,62.7
A00971,L018,MATH01,2026-06-10,MATH01_L11,30,2,69.1,62.1
A00972,L018,MATH01,2026-06-28,MATH01_L03,37,6,63.0,54.5
A00973,L018,READ01,2026-04-10,READ01_L09,34,4,63.5,66.7
A00974,L018,READ01,2025-09-29,READ01_L14,15,1,77.1,71.2
A00975,L018,READ01,2025-11-03,READ01_L09,22,1,75.7,82.5
A00976,L018,READ01,2025-11-18,READ01_L05,26,2,68.8,57.2
A00977,L018,READ01,2025-11-24,READ01_L03,30,4,67.8,33.5
A00978,L018,READ01,2026-02-13,READ01_L12,26,3,60.0,53.6
A00979,L018,READ01,2025-12-25,READ01_L06,20,3,73.3,80.0
A00980,L018,READ01,2026-05-24,READ01_L05,31,4,81.7,60.1
A00981,L018,READ01,2025-10-11,READ01_L05,41,3,47.7,61.9
A00982,L018,READ01,2025-12-10,READ01_L11,39,5,55.9,60.9
A00983,L018,READ01,2026-06-10,READ01_L05,35,2,69.1,85.4
A00984,L018,READ01,2025-11-04,READ01_L11,39,2,62.0,47.8
A00985,L018,ELA01,2026-07-12,ELA01_L09,32,5,78.4,77.4
A00986,L018,ELA01,2025-10-18,ELA01_L09,42,3,52.1,60.5
A00987,L018,ELA01,2026-07-26,ELA01_L03,22,4,67.1,93.4
A00988,L018,ELA01,2026-07-01,ELA01_L10,34,4,70.8,73.3
A00989,L018,ELA01,2025-11-18,ELA01_L03,26,4,68.6,81.0
A00990,L018,ELA01,2026-08-04,ELA01_L10,46,3,60.2,49.5
A00991,L018,ELA01,2026-07-07,ELA01_L06,32,4,74.9,71.4
A00992,L018,ELA01,2026-06-16,ELA01_L01,39,4,66.4,42.5
A00993,L018,ELA01,2025-09-15,ELA01_L02,42,3,57.9,51.6
A00994,L018,ELA01,2025-09-24,ELA01_L11,26,1,56.0,54.8
A00995,L018,ELA01,2026-06-23,ELA01_L05,27,3,62.1,66.5
A00996,L018,ELA01,2026-07-31,ELA01_L04,22,5,83.6,95.3
A00997,L018,ELA01,2026-06-20,ELA01_L07,36,3,60.6,62.9
A00998,L018,ELA01,2026-07-14,ELA01_L11,39,4,78.9,73.8
A00999,L018,SCI01,2026-05-13,SCI01_L11,33,5,55.0,36.7
A01000,L018,SCI01,2026-06-07,SCI01_L05,36,2,58.4,48.9
A01001,L018,SCI01,2026-07-26,SCI01_L05,24,2,63.5,71.9
A01002,L018,SCI01,2026-05-06,SCI01_L04,22,3,56.4,65.2
A01003,L018,SCI01,2026-08-17,SCI01_L07,31,3,65.3,44.4
A01004,L018,SCI01,2026-01-31,SCI01_L08,38,3,70.8,82.9
A01005,L018,SCI01,2025-10-08,SCI01_L12,44,3,57.9,53.8
A01006,L018,SCI01,2025-10-01,SCI01_L03,34,5,66.7,53.8
A01007,L018,SCI01,2026-04-14,SCI01_L07,43,3,60.8,71.6
A01008,L018,SCI01,2026-05-06,SCI01_L08,31,4,80.5,66.6
A01009,L019,MATH03,2026-02-22,MATH03_L10,42,5,92.2,84.5
A01010,L019,MATH03,2025-11-13,MATH03_L06,44,2,72.9,69.1
A01011,L019,MATH03,2026-02-11,MATH03_L12,42,6,93.7,100.0
A01012,L019,MATH03,2026-02-24,MATH03_L07,41,4,80.9,62.0
A01013,L019,MATH03,2025-11-06,MATH03_L06,36,2,78.7,79.2
A01014,L019,MATH03,2026-05-22,MATH03_L09,27,5,84.2,92.8
A01015,L019,MATH03,2025-10-25,MATH03_L06,38,5,88.0,96.2
A01016,L019,MATH03,2026-01-02,MATH03_L08,34,5,88.6,100.0
A01017,L019,MATH03,2025-11-02,MATH03_L05,57,4,81.4,81.8
A01018,L019,MATH03,2026-04-19,MATH03_L04,42,3,80.8,74.2
A01019,L019,MATH03,2025-11-12,MATH03_L02,41,5,77.4,85.2
A01020,L019,MATH03,2025-09-26,MATH03_L05,57,5,67.2,57.9
A01021,L019,MATH03,2026-03-16,MATH03_L10,42,4,87.4,89.8
A01022,L019,MATH02,2026-01-06,MATH02_L14,37,4,81.3,64.1
A01023,L019,MATH02,2025-11-21,MATH02_L14,45,5,87.3,97.2
A01024,L019,MATH02,2026-02-15,MATH02_L10,36,5,88.8,72.5
A01025,L019,MATH02,2026-02-08,MATH02_L04,33,5,79.0,90.3
A01026,L019,MATH02,2025-11-21,MATH02_L08,49,3,90.1,94.3
A01027,L019,MATH02,2026-05-22,MATH02_L08,47,4,85.2,80.6
A01028,L019,MATH02,2026-05-14,MATH02_L05,47,4,90.5,89.8
A01029,L019,MATH02,2026-05-13,MATH02_L01,20,5,77.7,85.0
A01030,L019,MATH02,2025-10-17,MATH02_L07,25,4,88.3,61.7
A01031,L019,MATH02,2026-05-17,MATH02_L08,32,6,97.1,100.0
A01032,L019,MATH02,2026-01-02,MATH02_L04,31,5,79.0,68.8
A01033,L019,MATH02,2026-06-26,MATH02_L06,36,3,87.0,60.2
A01034,L019,MATH02,2025-09-25,MATH02_L01,36,4,88.0,96.3
A01035,L019,MATH02,2026-01-23,MATH02_L08,38,4,95.6,100.0
A01036,L019,MATH02,2026-07-03,MATH02_L14,42,5,75.3,83.5
A01037,L019,MATH02,2026-08-01,MATH02_L11,34,3,70.7,71.9
A01038,L019,SCI02,2026-01-25,SCI02_L09,52,4,90.0,84.1
A01039,L019,SCI02,2025-09-05,SCI02_L14,43,6,95.4,98.8
A01040,L019,SCI02,2025-10-26,SCI02_L07,30,3,76.9,84.9
A01041,L019,SCI02,2025-11-08,SCI02_L05,55,5,95.7,100.0
A01042,L019,SCI02,2026-03-07,SCI02_L13,31,5,81.5,86.5
A01043,L019,SCI02,2026-03-26,SCI02_L06,43,5,87.0,100.0
A01044,L019,SCI02,2025-09-24,SCI02_L07,45,5,96.5,100.0
A01045,L019,SCI02,2025-09-27,SCI02_L10,46,3,82.5,95.1
A01046,L019,SCI02,2026-06-15,SCI02_L04,43,3,76.6,83.3
A01047,L019,SCI02,2026-03-05,SCI02_L09,28,5,85.9,79.0
A01048,L019,SCI02,2026-01-26,SCI02_L02,40,5,93.2,81.7
A01049,L019,SCI02,2026-03-17,SCI02_L09,37,5,81.5,100.0
A01050,L019,SCI02,2026-04-19,SCI02_L13,49,2,79.7,65.4
A01051,L019,SCI02,2026-06-09,SCI02_L05,30,3,78.5,83.5
A01052,L019,SCI02,2026-07-17,SCI02_L11,43,5,84.5,87.7
A01053,L019,SCI02,2026-07-10,SCI02_L02,40,3,91.4,100.0
A01054,L019,SCI02,2025-11-05,SCI02_L02,33,4,81.5,70.5
A01055,L019,ELA02,2026-03-11,ELA02_L13,43,5,82.8,72.1
A01056,L019,ELA02,2026-02-21,ELA02_L09,49,5,82.3,100.0
A01057,L019,ELA02,2026-03-07,ELA02_L13,50,3,95.6,100.0
A01058,L019,ELA02,2025-11-13,ELA02_L04,36,4,85.8,97.1
A01059,L019,ELA02,2026-07-06,ELA02_L09,33,5,90.2,82.5
A01060,L019,ELA02,2026-03-25,ELA02_L09,38,4,87.9,97.1
A01061,L019,ELA02,2025-09-21,ELA02_L01,56,2,77.9,70.7
A01062,L019,ELA02,2025-09-20,ELA02_L03,45,4,89.1,88.4
A01063,L019,ELA02,2026-02-18,ELA02_L13,39,6,89.5,99.5
A01064,L019,ELA02,2026-05-01,ELA02_L09,33,4,93.2,89.6
A01065,L019,ELA02,2026-04-22,ELA02_L03,43,4,78.1,86.0
A01066,L019,ELA02,2026-07-08,ELA02_L09,54,3,77.6,80.2
A01067,L019,ELA02,2025-11-11,ELA02_L06,36,5,92.5,77.8
A01068,L019,ELA02,2026-07-11,ELA02_L06,40,4,97.8,94.2
A01069,L019,ELA02,2025-11-23,ELA02_L07,36,4,92.6,90.0
A01070,L019,ELA02,2026-07-13,ELA02_L12,55,4,76.8,86.7
A01071,L020,READ01,2026-07-01,READ01_L06,30,4,80.7,90.1
A01072,L020,READ01,2026-05-18,READ01_L14,48,5,77.5,88.5
A01073,L020,READ01,2026-05-19,READ01_L09,30,3,75.3,77.7
A01074,L020,READ01,2026-05-09,READ01_L12,21,4,83.3,85.2
A01075,L020,READ01,2026-06-16,READ01_L05,49,4,76.8,92.5
A01076,L020,READ01,2026-05-02,READ01_L14,46,6,77.2,93.0
A01077,L020,READ01,2025-09-09,READ01_L06,36,4,70.2,76.1
A01078,L020,READ01,2026-02-17,READ01_L11,31,4,84.5,60.2
A01079,L020,READ01,2025-10-27,READ01_L07,34,4,90.5,86.8
A01080,L020,READ01,2026-06-26,READ01_L05,15,4,88.1,86.9
A01081,L020,READ01,2026-08-19,READ01_L11,52,3,75.3,84.6
A01082,L020,READ01,2025-09-14,READ01_L10,48,3,81.8,73.0
A01083,L020,READ01,2026-05-01,READ01_L05,42,2,87.7,81.3
A01084,L020,READ01,2026-08-02,READ01_L13,45,3,82.1,47.1
A01085,L020,MATH04,2025-09-27,MATH04_L16,28,2,83.2,49.2
A01086,L020,MATH04,2025-11-27,MATH04_L13,39,4,85.5,100.0
A01087,L020,MATH04,2025-11-15,MATH04_L08,51,3,84.1,83.7
A01088,L020,MATH04,2025-09-17,MATH04_L04,36,4,66.0,73.6
A01089,L020,MATH04,2025-12-07,MATH04_L01,43,5,79.3,100.0
A01090,L020,MATH04,2026-04-14,MATH04_L11,31,4,76.5,66.8
A01091,L020,MATH04,2026-04-03,MATH04_L05,36,3,90.8,85.2
A01092,L020,MATH04,2026-03-31,MATH04_L07,37,3,84.7,100.0
A01093,L020,MATH04,2026-03-30,MATH04_L16,38,5,72.1,52.5
A01094,L020,MATH04,2025-10-02,MATH04_L05,30,5,82.8,71.3
A01095,L020,MATH04,2026-05-24,MATH04_L07,47,5,84.5,87.5
A01096,L020,MATH04,2026-06-15,MATH04_L11,34,5,77.1,68.7
A01097,L020,MATH04,2026-08-06,MATH04_L16,44,3,70.7,59.3
A01098,L020,ELA04,2026-03-12,ELA04_L11,34,4,67.4,70.3
A01099,L020,ELA04,2025-11-28,ELA04_L15,42,4,86.6,84.2
A01100,L020,ELA04,2026-05-31,ELA04_L11,48,4,83.1,77.4
A01101,L020,ELA04,2026-06-07,ELA04_L12,27,5,71.0,78.0
A01102,L020,ELA04,2026-08-13,ELA04_L09,37,5,83.6,77.8
A01103,L020,ELA04,2026-07-10,ELA04_L16,38,3,86.6,93.7
A01104,L020,ELA04,2025-12-08,ELA04_L08,41,4,82.3,81.8
A01105,L020,ELA04,2026-01-21,ELA04_L10,48,5,98.1,99.4
A01106,L020,ELA04,2025-12-25,ELA04_L10,42,4,87.0,83.4
A01107,L020,ELA04,2026-01-26,ELA04_L07,13,4,78.3,72.5
A01108,L020,ELA04,2026-08-20,ELA04_L16,38,3,91.7,91.1
A01109,L020,ELA04,2026-02-10,ELA04_L16,42,4,70.6,82.1
A01110,L020,ELA04,2026-02-26,ELA04_L09,38,3,72.6,81.1
A01111,L020,ELA04,2026-01-26,ELA04_L04,42,4,83.1,88.1
A01112,L020,ELA04,2026-06-21,ELA04_L13,36,4,91.8,78.8
A01113,L020,ELA04,2026-03-22,ELA04_L12,39,5,72.0,69.0
A01114,L020,ELA04,2025-11-14,ELA04_L10,35,3,77.1,80.6
A01115,L020,ELA04,2025-09-22,ELA04_L10,48,3,67.0,75.7
A01116,L020,SCI03,2026-02-25,SCI03_L15,44,5,68.8,73.4
A01117,L020,SCI03,2026-04-15,SCI03_L11,40,3,71.0,68.0
A01118,L020,SCI03,2026-01-10,SCI03_L12,45,4,87.2,75.5
A01119,L020,SCI03,2026-05-04,SCI03_L04,38,2,84.1,93.5
A01120,L020,SCI03,2025-12-13,SCI03_L14,48,3,78.8,40.7
A01121,L020,SCI03,2026-06-03,SCI03_L05,41,2,81.2,69.5
A01122,L020,SCI03,2026-06-15,SCI03_L12,36,5,100.0,92.2
A01123,L020,SCI03,2026-01-18,SCI03_L03,37,4,62.3,57.5
A01124,L020,SCI03,2025-10-26,SCI03_L10,40,4,78.1,62.9
A01125,L020,SCI03,2026-06-28,SCI03_L04,23,2,82.9,91.7
A01126,L020,SCI03,2026-01-03,SCI03_L01,38,3,83.0,74.5
A01127,L021,SCI01,2025-12-25,SCI01_L11,24,3,70.7,78.5
A01128,L021,SCI01,2025-12-29,SCI01_L01,33,4,84.2,61.2
A01129,L021,SCI01,2025-10-22,SCI01_L07,30,4,78.0,75.1
A01130,L021,SCI01,2026-02-17,SCI01_L12,29,4,83.3,80.0
A01131,L021,SCI01,2026-04-30,SCI01_L02,35,3,71.5,71.3
A01132,L021,SCI01,2026-08-15,SCI01_L03,38,4,72.3,81.8
A01133,L021,SCI01,2025-09-03,SCI01_L09,28,5,80.2,65.9
A01134,L021,SCI01,2025-11-20,SCI01_L07,41,2,77.5,78.6
A01135,L021,SCI01,2026-08-01,SCI01_L08,30,5,69.0,61.2
A01136,L021,SCI01,2026-05-03,SCI01_L11,37,4,66.3,64.6
A01137,L021,SCI01,2025-12-12,SCI01_L05,41,1,82.1,75.7
A01138,L021,SCI01,2026-02-12,SCI01_L05,40,1,68.3,98.9
A01139,L021,SCI01,2026-07-28,SCI01_L01,38,5,77.0,100.0
A01140,L021,SCI01,2025-10-16,SCI01_L11,44,4,79.7,78.0
A01141,L021,SCI01,2026-06-21,SCI01_L04,30,3,69.0,52.8
A01142,L021,SCI01,2026-06-01,SCI01_L12,23,4,72.2,71.7
A01143,L021,SCI01,2025-09-20,SCI01_L03,32,7,73.9,90.3
A01144,L021,SCI01,2026-04-02,SCI01_L03,38,3,62.8,50.6
A01145,L021,ELA01,2026-03-23,ELA01_L08,40,3,62.1,73.7
A01146,L021,ELA01,2025-12-05,ELA01_L12,47,3,80.7,86.4
A01147,L021,ELA01,2026-01-27,ELA01_L01,33,3,77.8,97.1
A01148,L021,ELA01,2025-09-05,ELA01_L05,41,3,74.6,60.0
A01149,L021,ELA01,2026-06-18,ELA01_L10,35,3,68.2,68.1
A01150,L021,ELA01,2025-10-25,ELA01_L06,27,4,59.3,66.5
A01151,L021,ELA01,2026-01-24,ELA01_L08,28,3,69.6,65.2
A01152,L021,ELA01,2026-07-26,ELA01_L09,44,3,77.9,64.1
A01153,L021,ELA01,2026-05-27,ELA01_L08,30,3,74.9,90.8
A01154,L021,ELA01,2025-11-08,ELA01_L09,38,2,79.4,81.9
A01155,L021,MATH01,2026-01-18,MATH01_L04,33,5,81.3,96.8
A01156,L021,MATH01,2025-10-28,MATH01_L06,39,4,86.1,100.0
A01157,L021,MATH01,2025-11-23,MATH01_L12,32,3,76.4,79.2
A01158,L021,MATH01,2026-04-23,MATH01_L11,35,5,62.4,36.2
A01159,L021,MATH01,2026-01-10,MATH01_L12,45,3,85.0,91.6
A01160,L021,MATH01,2025-12-05,MATH01_L01,46,5,72.8,56.0
A01161,L021,MATH01,2026-02-20,MATH01_L05,35,4,77.5,68.7
A01162,L021,MATH01,2026-06-18,MATH01_L11,45,3,86.8,70.7
A01163,L021,MATH01,2025-12-08,MATH01_L03,40,4,69.7,84.7
A01164,L021,MATH01,2026-07-10,MATH01_L11,44,4,79.1,62.4
A01165,L021,MATH01,2026-03-27,MATH01_L07,45,4,71.2,77.2
A01166,L021,MATH01,2026-05-22,MATH01_L06,28,4,70.2,73.9
A01167,L021,MATH01,2025-10-15,MATH01_L07,34,3,67.5,81.0
A01168,L021,MATH01,2026-08-09,MATH01_L02,48,5,70.4,69.4
A01169,L021,MATH01,2025-12-04,MATH01_L03,20,2,64.7,48.2
A01170,L021,MATH01,2026-05-03,MATH01_L06,37,4,83.8,57.2
A01171,L021,MATH01,2026-01-06,MATH01_L01,43,4,63.2,61.4
A01172,L021,READ01,2026-03-16,READ01_L04,49,3,77.3,78.1
A01173,L021,READ01,2026-04-17,READ01_L13,55,2,74.3,82.5
A01174,L021,READ01,2026-01-15,READ01_L06,41,3,71.9,71.3
A01175,L021,READ01,2026-02-02,READ01_L10,61,4,78.5,68.3
A01176,L021,READ01,2026-06-21,READ01_L01,33,2,69.4,65.4
A01177,L021,READ01,2026-01-12,READ01_L11,26,5,78.6,84.5
A01178,L021,READ01,2026-03-04,READ01_L12,35,5,66.9,75.7
A01179,L021,READ01,2025-12-30,READ01_L01,34,4,72.8,66.7
A01180,L021,READ01,2026-08-08,READ01_L02,53,4,55.9,60.7
A01181,L021,READ01,2026-04-27,READ01_L05,30,3,72.3,53.1
A01182,L021,READ01,2025-11-21,READ01_L07,26,3,91.0,85.7
A01183,L021,READ01,2026-08-18,READ01_L09,36,2,83.1,98.1
A01184,L021,READ01,2026-08-27,READ01_L13,41,4,78.6,100.0
A01185,L021,READ01,2026-02-07,READ01_L12,31,5,90.3,94.9
A01186,L022,ELA01,2026-07-25,ELA01_L05,26,4,88.7,79.0
A01187,L022,ELA01,2026-03-08,ELA01_L10,48,2,91.4,91.1
A01188,L022,ELA01,2025-12-23,ELA01_L04,38,5,93.7,97.9
A01189,L022,ELA01,2025-11-08,ELA01_L08,38,3,87.5,74.0
A01190,L022,ELA01,2025-11-18,ELA01_L08,40,4,90.4,85.3
A01191,L022,ELA01,2026-07-08,ELA01_L06,48,4,82.3,66.2
A01192,L022,ELA01,2026-04-01,ELA01_L12,38,4,90.7,100.0
A01193,L022,ELA01,2026-06-09,ELA01_L08,42,3,84.6,81.9
A01194,L022,ELA01,2026-06-03,ELA01_L11,27,4,89.6,90.8
A01195,L022,ELA01,2025-12-21,ELA01_L04,48,5,85.1,100.0
A01196,L022,ELA01,2026-08-15,ELA01_L10,41,4,76.8,64.0
A01197,L022,MATH01,2026-05-28,MATH01_L08,59,4,92.4,98.5
A01198,L022,MATH01,2026-05-29,MATH01_L12,34,2,85.4,77.0
A01199,L022,MATH01,2026-03-05,MATH01_L02,54,4,73.6,69.5
A01200,L022,MATH01,2026-06-16,MATH01_L02,31,3,91.9,92.7
A01201,L022,MATH01,2025-10-02,MATH01_L09,44,4,93.0,93.9
A01202,L022,MATH01,2026-05-17,MATH01_L04,42,3,88.0,88.5
A01203,L022,MATH01,2026-06-21,MATH01_L09,41,4,76.2,100.0
A01204,L022,MATH01,2025-11-16,MATH01_L03,29,4,84.4,90.7
A01205,L022,MATH01,2026-02-15,MATH01_L09,35,3,98.1,100.0
A01206,L022,MATH01,2026-04-15,MATH01_L02,36,4,73.7,72.9
A01207,L022,MATH01,2026-08-15,MATH01_L04,34,4,90.3,90.1
A01208,L022,READ01,2025-10-17,READ01_L09,41,5,85.9,96.1
A01209,L022,READ01,2026-04-17,READ01_L13,44,3,87.9,88.5
A01210,L022,READ01,2025-09-29,READ01_L08,46,4,88.6,80.7
A01211,L022,READ01,2025-11-07,READ01_L09,44,5,80.2,75.3
A01212,L022,READ01,2026-04-01,READ01_L08,41,4,92.0,89.5
A01213,L022,READ01,2026-06-16,READ01_L01,43,7,90.7,80.5
A01214,L022,READ01,2026-06-14,READ01_L08,36,3,88.9,88.8
A01215,L022,READ01,2026-08-11,READ01_L13,63,4,85.8,72.3
A01216,L022,READ01,2026-02-05,READ01_L12,23,4,86.9,87.1
A01217,L022,READ01,2025-09-12,READ01_L07,48,4,91.1,89.3
A01218,L022,READ01,2026-01-09,READ01_L14,31,5,78.6,63.3
A01219,L022,READ01,2025-09-02,READ01_L12,32,5,81.4,100.0
A01220,L022,READ01,2025-12-21,READ01_L10,25,4,74.3,74.5
A01221,L022,READ01,2025-10-08,READ01_L01,36,4,86.5,90.9
A01222,L022,READ01,2026-04-05,READ01_L06,24,4,93.1,95.6
A01223,L022,READ01,2026-08-25,READ01_L02,54,4,77.4,76.9
A01224,L022,READ01,2026-06-05,READ01_L01,35,2,89.2,84.1
A01225,L022,SCI01,2026-04-30,SCI01_L01,37,3,93.0,100.0
A01226,L022,SCI01,2026-01-25,SCI01_L07,36,4,82.1,91.4
A01227,L022,SCI01,2025-12-02,SCI01_L03,47,5,100.0,93.9
A01228,L022,SCI01,2026-07-26,SCI01_L12,40,4,76.5,63.6
A01229,L022,SCI01,2026-07-28,SCI01_L07,43,5,83.3,89.4
A01230,L022,SCI01,2026-03-11,SCI01_L07,36,4,87.1,72.7
A01231,L022,SCI01,2026-04-18,SCI01_L07,40,4,99.0,87.9
A01232,L022,SCI01,2026-03-12,SCI01_L02,31,4,100.0,100.0
A01233,L022,SCI01,2026-08-16,SCI01_L11,48,6,89.6,95.6
A01234,L022,SCI01,2026-06-04,SCI01_L03,38,5,76.3,100.0
A01235,L022,SCI01,2026-08-01,SCI01_L06,50,4,73.6,83.6
A01236,L023,READ01,2025-12-01,READ01_L09,34,5,86.2,94.1
A01237,L023,READ01,2026-03-21,READ01_L09,41,4,94.8,76.1
A01238,L023,READ01,2025-11-05,READ01_L12,44,3,93.6,87.1
A01239,L023,READ01,2025-12-24,READ01_L14,29,4,83.3,69.7
A01240,L023,READ01,2025-09-02,READ01_L13,35,3,83.7,100.0
A01241,L023,READ01,2025-09-12,READ01_L05,34,5,97.1,100.0
A01242,L023,READ01,2026-04-26,READ01_L11,34,5,96.6,90.0
A01243,L023,READ01,2026-06-06,READ01_L07,46,6,76.4,100.0
A01244,L023,READ01,2026-05-31,READ01_L07,46,4,77.4,86.8
A01245,L023,READ01,2025-12-27,READ01_L04,31,4,75.3,76.2
A01246,L023,READ01,2026-04-24,READ01_L06,46,5,81.9,89.1
A01247,L023,SCI03,2026-01-20,SCI03_L04,44,3,100.0,100.0
A01248,L023,SCI03,2025-10-28,SCI03_L01,48,6,82.2,87.7
A01249,L023,SCI03,2026-08-05,SCI03_L07,33,6,75.1,73.0
A01250,L023,SCI03,2026-07-12,SCI03_L13,47,5,87.7,91.0
A01251,L023,SCI03,2025-09-09,SCI03_L04,38,5,85.4,92.0
A01252,L023,SCI03,2025-12-15,SCI03_L02,49,4,85.0,74.8
A01253,L023,SCI03,2025-10-22,SCI03_L10,33,4,81.0,95.8
A01254,L023,SCI03,2025-09-18,SCI03_L08,42,4,80.6,77.5
A01255,L023,SCI03,2026-07-04,SCI03_L11,39,4,75.0,81.4
A01256,L023,SCI03,2026-08-27,SCI03_L14,31,5,88.8,91.4
A01257,L023,SCI03,2025-09-25,SCI03_L04,41,4,88.6,91.2
A01258,L023,SCI03,2025-09-23,SCI03_L07,27,4,90.8,87.8
A01259,L023,MATH04,2025-12-29,MATH04_L07,50,4,89.1,83.1
A01260,L023,MATH04,2025-09-29,MATH04_L05,34,4,82.9,92.2
A01261,L023,MATH04,2026-05-16,MATH04_L10,44,3,78.6,71.9
A01262,L023,MATH04,2025-12-29,MATH04_L11,54,4,84.4,58.0
A01263,L023,MATH04,2026-06-23,MATH04_L11,41,5,71.1,75.6
A01264,L023,MATH04,2025-12-31,MATH04_L10,50,4,88.4,99.1
A01265,L023,MATH04,2025-11-13,MATH04_L08,33,3,74.0,70.7
A01266,L023,MATH04,2026-03-31,MATH04_L10,42,4,86.7,75.5
A01267,L023,MATH04,2026-01-19,MATH04_L02,29,6,85.5,81.9
A01268,L023,MATH04,2026-06-13,MATH04_L06,53,3,83.1,69.6
A01269,L023,MATH04,2026-07-18,MATH04_L14,40,5,78.3,87.1
A01270,L023,MATH04,2026-06-12,MATH04_L16,23,5,100.0,93.3
A01271,L023,MATH04,2025-09-25,MATH04_L12,36,3,82.4,100.0
A01272,L023,MATH04,2026-07-27,MATH04_L13,41,6,93.8,75.6
A01273,L023,MATH04,2026-05-27,MATH04_L11,23,4,76.4,78.3
A01274,L023,MATH04,2026-08-23,MATH04_L14,42,3,87.9,97.5
A01275,L023,MATH04,2026-03-29,MATH04_L05,46,2,89.0,92.7
A01276,L023,ELA04,2026-03-12,ELA04_L06,37,5,77.5,78.6
A01277,L023,ELA04,2026-06-03,ELA04_L16,41,3,80.2,94.0
A01278,L023,ELA04,2026-01-02,ELA04_L08,50,4,85.4,79.1
A01279,L023,ELA04,2026-02-01,ELA04_L05,48,4,80.9,88.7
A01280,L023,ELA04,2026-04-26,ELA04_L02,25,4,84.0,69.8
A01281,L023,ELA04,2026-06-15,ELA04_L14,31,5,87.3,86.2
A01282,L023,ELA04,2026-04-02,ELA04_L05,46,5,85.6,85.4
A01283,L023,ELA04,2026-03-18,ELA04_L08,26,4,80.9,73.5
A01284,L023,ELA04,2026-01-09,ELA04_L07,38,5,87.9,80.5
A01285,L023,ELA04,2026-02-17,ELA04_L03,50,5,86.6,85.9
A01286,L023,ELA04,2026-04-19,ELA04_L12,36,4,82.2,75.7
A01287,L023,ELA04,2025-10-18,ELA04_L07,39,3,93.1,100.0
A01288,L023,ELA04,2025-09-27,ELA04_L09,29,4,89.6,90.9
A01289,L023,ELA04,2026-03-13,ELA04_L02,32,5,100.0,100.0
A01290,L024,SCI03,2025-12-06,SCI03_L13,36,3,74.3,71.9
A01291,L024,SCI03,2026-06-28,SCI03_L12,44,5,79.0,70.1
A01292,L024,SCI03,2026-08-10,SCI03_L09,38,4,63.6,66.6
A01293,L024,SCI03,2025-12-21,SCI03_L08,39,5,76.7,81.3
A01294,L024,SCI03,2025-12-16,SCI03_L14,34,4,76.3,96.0
A01295,L024,SCI03,2026-02-18,SCI03_L05,38,3,77.9,91.1
